ID,filename,band_abbrev,abbrev_type,date_format,date_parsed,mics_etc
e651eb1639a84447eef6b431107c1c124e3b0b87,gd1992-12-17d3t03.shn,gd,canonical,yyyy-mm-dd,1992-12-17 00:00:00,d3t03
3ac29ba967ac28a96ead52af843d13b5c5350f97,01 Gringo Honeymoon.flac,,blank,otros,,
03bcddfb8e4c6e4df25f285517205919e41bca35,01 Gemini Dream.flac,gemini dream,assigned,otros,,
99e52481abfa04f6fb74aeceb285467f67ca0237,01_I`m On Your Side.flac,,blank,otros,,
5df5ff57572096269a817244744390f329bf98f1,DEADCo2016-07-10_MK41_SET0101.flac,deadco,assigned,yyyy-mm-dd,2016-07-10 00:00:00,_MK41_SET0101
ebfeaf7e323504cdfd162ce6574267d15eb42ea4,DEADCo2016-07-10_MK41_SET0101.flac,deadco,assigned,yyyy-mm-dd,2016-07-10 00:00:00,_MK41_SET0101
e6f6cfd7d46fb2ecee007c2629de3d0f67dc6515,gd1980-11-28d1t01.flac,gd,canonical,yyyy-mm-dd,1980-11-28 00:00:00,d1t01
e1b419107ab78bd52dd071334414ca212995d135,raccoon2016-07-08s1t01.flac,raccoon,assigned,yyyy-mm-dd,2016-07-08 00:00:00,s1t01
c8f97307c126820d7c00cf527a4175f50a8d0531,gd1982-02-19s1t01.flac,gd,canonical,yyyy-mm-dd,1982-02-19 00:00:00,s1t01
ec070835adce1eba9a03b518af66146f5c94c18b,gd95-07-09d1t01.flac,gd,canonical,yy-mm-dd,1995-07-09 00:00:00,d1t01
b0b7781b672765844db2b589304847a7dade1b23,gd80-11-30s1t01.flac,gd,canonical,yy-mm-dd,1980-11-30 00:00:00,s1t01
928f606ee9855f99d150b07efb1287dda7c8912f,gd80-12-06t01.shn,gd,canonical,yy-mm-dd,1980-12-06 00:00:00,t01
a01f5fbf498a17f4dce64f2177c44407c3c889ca,jg&ms74-11-14d1t1.shn,jg&ms,assigned,yy-mm-dd,1974-11-14 00:00:00,d1t1
c643458491b631e3db4d92286bd85400e6f54220,jg+ms1974-11-14a-d1t01.shn,jg+ms,assigned,yyyy-mm-dd,1974-11-14 00:00:00,a-d1t01
773324df63e78b2bc457e6c2c2b9e4f0efa084cc,gd92-12-17d1t01.flac,gd,canonical,yy-mm-dd,1992-12-17 00:00:00,d1t01
b94ea9d0e14c7bb94c29a8e1ff09ec4bf62edf51,01 - Once Bitten Twice Shy.flac,,blank,otros,,
d8daac3d9cb330c2bf4d435e2c9e7fd7be91c922,01 Mustang Wine.flac,,blank,otros,,
c6a201b20b5519b2ecb9e777997239b40f38165d,gd84-07-13s1t01.flac,gd,canonical,yy-mm-dd,1984-07-13 00:00:00,s1t01
61f321f2d52c5ce5891b347666a60b50a7e5a8e8,01 Se A Cabo.flac,,blank,otros,,
aa2250a21645e9c64a19eb95901c993cd6476625,jgms1974-11-14-early-t01.flac,jgms,assigned,yyyy-mm-dd,1974-11-14 00:00:00,-early-t01
53307fb5d801884ea1ce4818cec2f9e875793413,jgb74-11-15d2t202.shn,jgb,variant,yy-mm-dd,1974-11-15 00:00:00,d2t202
450fd8a5879963e324f16a46c2e9e3922990a2c6,gd84-07-14s1t01.flac,gd,canonical,yy-mm-dd,1984-07-14 00:00:00,s1t01
85636209d8f74159ddc682b7772b9152846b353b,01 Leslie Anne Levine.flac,,blank,otros,,
f808ec4b46eb140fca6b9b73f6cbff76ee0e6641,d1t01.Neil Young-My My Hey Hey (Out Of The Blue).flac,d,notband,otros,,
6e1d7c55dadf4198590e53ddba3313ffed36b063,gd80-12-12d1t01.shn,gd,canonical,yy-mm-dd,1980-12-12 00:00:00,d1t01
b3bd982714f8f6c93bc511266eb02a92b8bc957e,gd80-12-12d2t04.shn,gd,canonical,yy-mm-dd,1980-12-12 00:00:00,d2t04
4d58b8e403a0413a2f3e6950802769356f6de42e,gd80-12-13IId1t01.shn,gd,canonical,yy-mm-dd,1980-12-13 00:00:00,IId1t01
0fe3e0539cb19c01cac585450a143b246488f436,gd80-12-13d1t01.shn,gd,canonical,yy-mm-dd,1980-12-13 00:00:00,d1t01
cbbd90fc0e02eddd5aead486b19abaff905e05c3,jg+ms1974-11-15bnewd1t03.shn,jg+ms,assigned,yyyy-mm-dd,1974-11-15 00:00:00,bnewd1t03
154611dc24d1e08028d3b67dd60e8fb9b3604131,jg+ms1974-11-16a-new-d1t05.shn,jg+ms,assigned,yyyy-mm-dd,1974-11-16 00:00:00,a-new-d1t05
